Location,Type,Category,Description,Price,Date,Rooms,Surface
Ain Zaghouan,Vente,App. 3 pièc,S plus deux résidence ja,253 000,19/12/2024,2,69 m²
Sidi Bousaid,Location,Duplex,Duplex avec terrasse à s,4 000,19/12/2024,N/A,N/A
El Aouina,Location,App. 2 pièc,S plus un luxueux richem,1 600,19/12/2024,1,60 m²
Marsa Ennassim,Location,App. 4 pièc,Etage de villa s3 indépendant,2 000,19/12/2024,3,180 m²
Ariana,Terrain,Terrain nu,Terrain villa royer,740 000,19/12/2024,N/A,514 m²
Gammart,Location,Maisons,Duplex avec jardin à gam,4 200,19/12/2024,N/A,N/A
Ain Zaghouan,Location,App. 2 pièc,Apartes meublé et vide,150,19/12/2024,1,N/A
Sidi Daoud,Bureaux & Commer,Atelier,Dépôt aux zone industrielle s,2 500,19/12/2024,N/A,250 m²
Ain Zaghouan,Vente,App. 2 pièc,S2  ain zaghouane nouvel,415 000,19/12/2024,1,140 m²
El Aouina,Location,App. 2 pièc,Résidence zayatine appartemen,850,19/12/2024,1,60 m²
Ezzahra,Terrain,Terrain agr,Une belle opportunite po,63 000,19/12/2024,N/A,1 000 m²
Cite El Khalil,Location,App. 1 pièc,Appartement s3 meubl  la,2 500,19/12/2024,0,130 m²
Le Bardo,Location,App. 1 pièc,Meublé pour une seule personn,550,19/12/2024,0,55 m²
Korba Hached,Location,App. 3 pièc,Local commercial,7 800,19/12/2024,2,135 m²
Le Bardo,Location,App. 2 pièc,Pour  filles ou petite famill,550,19/12/2024,1,88 m²
Riadh Landlous,Location,App. 2 pièc,Spacieux s0 et s1 pour p,650,19/12/2024,1,70 m²
El Manar 1,Location,App. 3 pièc,Mignon appartement meubl,1 500,19/12/2024,2,N/A
El Menzah 9,Location,App. 3 pièc,Magnifique appartement s,1 350,19/12/2024,2,N/A
Gammart,Location,Maisons,Triplex s4 avec piscine,7 500,19/12/2024,4,N/A
Marsa Erriadh,Location,App. 4 pièc,Appart s3 samar à la,1 250,19/12/2024,3,130 m²
Gammart,Location,Duplex,Duplex meuble s3 a gamma,4 500,19/12/2024,3,N/A
El Yasminette,Terrain,Terrain nu,Réf 87v terrain commercial au,805 000,19/12/2024,N/A,1 150 m²
Gammart,Location,Maisons,Duplex avec piscine a ga,6 500,19/12/2024,N/A,N/A
Hammam Lif,Location,App. 3 pièc,Appart s2 hts à h li,1 100,19/12/2024,2,160 m²
Chatt Meriem,Location vacance,Maisons,Rez de jardin s1 de char,300,19/12/2024,1,75 m²
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1 200,19/12/2024,2,125 m²
Riadh Landlous,Location vacance,App. 1 pièc,A 10 min de de l'aéropor,1 500,19/12/2024,0,51 m²
Chatt Meriem,Location vacance,Maisons,Etage s3 de pittoresque,140,19/12/2024,3,150 m²
Ezzahra,Location,App. 3 pièc,Appart s2 neuf a ezz,850,19/12/2024,2,98 m²
Hammamet,Vente,Duplex,Réf 74v une magnifique duplex,650 000,19/12/2024,N/A,200 m²
Marsa Safsaf,Vente,App. 3 pièc,Réf 89v bel appartement s 2 r,1 500 000,19/12/2024,2,130 m²
Ezzahra,Location,Surfaces,Local 40m2 à ezzahra,1 600,19/12/2024,N/A,40 m²
Sidi Daoud,Location,Maisons,Triplex avec piscine à l,5 000,19/12/2024,N/A,N/A
Riadh Landlous,Location,App. 1 pièc,A 10 min de de l'aéropor,1 000,19/12/2024,0,51 m²
Marsa Ennassim,Location,Duplex,Duplex meublé avec terra,4 000,19/12/2024,N/A,N/A
Ezzahra,Location,App. 2 pièc,Studio meublé à ezza,500,19/12/2024,1,40 m²
Ezzahra,Location,App. 3 pièc,Maison s2 meublé à e,131,19/12/2024,2,150 m²
Gammart,Location,Duplex,Duplex avec jardin à gam,4 500,19/12/2024,N/A,N/A
Ezzahra,Location,App. 2 pièc,Studio s1 meublé à e,131,19/12/2024,1,55 m²
Berge Du Lac,Location,App. 2 pièc,Suite à lac 2 coquette appart,1 900,19/12/2024,1,60 m²
Cite Du Stade,Location,Duplex,Duplex avec terrasse à l,2 000,19/12/2024,N/A,N/A
Ezzahra,Location,App. 2 pièc,Studio s1 meublé à e,131,19/12/2024,1,55 m²
Berge Du Lac,Location,App. 2 pièc,Suite à lac 2 coquette appart,1 900,19/12/2024,1,60 m²
Cite Du Stade,Location,Duplex,Duplex avec terrasse à l,2 000,19/12/2024,N/A,N/A
La Soukra,Vente,App. 2 pièc,S plus 1 soukra tel 5825,225 000,19/12/2024,1,58 m²
El Aouina,Bureaux & Commer,Fond de Com,Fond de commerce laouina,35 000,19/12/2024,N/A,30 m²
Marsa Ennassim,Location,App. 2 pièc,Coquette appartement s1 meubl,1 400,19/12/2024,1,60 m²
Ezzahra,Location,App. 3 pièc,Appart s2 neuf a ezz,850,19/12/2024,2,98 m²
El Aouina,Location,App. 4 pièc,S plus 3 jardins el aoui,1 350,19/12/2024,3,130 m²
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1 200,19/12/2024,2,120 m²
Nouvelle Medina,Vente,App. 2 pièc,Appartement s2 près show,180 000,19/12/2024,1,100 m²
Ben Arous,Bureaux & Commer,Atelier,Aux sidi rzig dépôt au 1er ét,4 500,19/12/2024,N/A,750 m²
Hammam Lif,Location,App. 3 pièc,Appart s2 hts à h li,1 100,19/12/2024,2,160 m²
Ain Zaghouan,Vente,App. 3 pièc,S plus deux résidence ja,253 000,19/12/2024,2,69 m²
Sidi Bousaid,Location,Duplex,Duplex avec terrasse à s,4 000,19/12/2024,N/A,N/A
El Aouina,Location,App. 2 pièc,S plus un luxueux richem,1 600,19/12/2024,1,60 m²
Marsa Ennassim,Location,App. 4 pièc,Etage de villa s3 indépendant,2 000,19/12/2024,3,180 m²
Ariana,Terrain,Terrain nu,Terrain villa royer,740 000,19/12/2024,N/A,514 m²
Gammart,Location,Maisons,Duplex avec jardin à gam,4 200,19/12/2024,N/A,N/A
