Location,Type,Category,Description,Price,Date,Rooms,Surface,PC1,PC2,PC3
Gammart,Location,App. 2 pièc,Appart avec piscine à ga,5000,19/12/2024,1,73,-0.7135899302895334,0.02232349981340612,-0.3394831260765111
Marsa Ennassim,Location,App. 3 pièc,Rez de chaussee avec pis,5800,19/12/2024,2,121,-0.0655798664495345,-0.15515757586370835,0.15057362138664693
El Menzah 7,Location,App. 5 pièc,Spacieux appt s3 à menza,1349,19/12/2024,4,150,1.0882178034258105,-0.43435794114315424,1.2771003686746432
Gammart,Location,Maisons,Villa s4 avec piscine a,6500,19/12/2024,4,225,1.246034941115079,-0.5223978460208546,1.1138557667878433
Cite Ennasr 2,Location,App. 2 pièc,Coquet appt s1 à cité en,900,19/12/2024,1,70,-0.7232316209811718,0.01808856642416844,-0.3313913735631839
Carthage,Location,Maisons,Villa s4 avec piscine a,7500,19/12/2024,4,225,1.2468898562102695,-0.5204059073300756,1.1134546408292163
Carthage,Location,Maisons,Villa s5 carthage,5500,19/12/2024,5,400,2.152286300374545,-0.8699197232931801,1.331705780131372
Marsa Safsaf,Location,App. 2 pièc,Etage de villa s1 meubl,900,19/12/2024,1,73,-0.717095082179814,0.014156551181212314,-0.3378385096461404
El Aouina,Location,App. 3 pièc,Appt s2 meublé à la nouv,2000,19/12/2024,2,115,-0.08110162141397341,-0.15486291240275618,0.16499217219534254
Ben Arous,Location,App. 2 pièc,Bureau clare  à ben,1500,19/12/2024,1,145,-0.5693052018901147,-0.07901665143526707,-0.4928104512122723
Cite Ennasr 2,Location,App. 4 pièc,Appart s3 à ennasr 2 cot,1150,19/12/2024,3,160,0.5593612937176036,-0.33169867167669986,0.6621579135731916
La Soukra,Location,App. 3 pièc,Appartement s2 à chotran,1700,19/12/2024,2,100,-0.11204078994931908,-0.13580041779520932,0.1973481903977131
Cite Ennasr 2,Location,App. 3 pièc,Appart s2 vide à ennasr,1050,19/12/2024,2,100,-0.11259648476119284,-0.13709517794421563,0.19760892227082064
Cite Mohamed Al,Vente,App. 3 pièc,S2 au rez de chaussé,92000,19/12/2024,2,60,-0.11666247420506297,0.09649851588821368,0.24708833077311365
Bizerte,Location,App. 2 pièc,Villa à malouf bizerte,200,19/12/2024,1,73,-0.7176935227464473,0.012762194097667047,-0.33755772147510144
Bizerte,Vente,App. 2 pièc,Appartement bizerte cent,260000,19/12/2024,1,85,-0.4710404258105529,0.5145398049902203,-0.46755878985822535
Cite Ennasr 2,Location,App. 2 pièc,Un appartement s 1 à cit,900,19/12/2024,1,83,-0.696639952841955,0.0010498337046919316,-0.35932896325599534
Marsa Ennassim,Location,App. 4 pièc,Appartement avec jardin,3000,19/12/2024,3,200,0.642763403995142,-0.38044045500484025,0.5754540161103119
Berge Du Lac,Location vacance,App. 1 pièc,A 10 minute de l'aéropor,1500,19/12/2024,0,51,-1.3107249286081128,0.16034887558646432,-0.8843320128369991
Hammam Lif,Vente,App. 3 pièc,Duplex avec local comerc,190000,19/12/2024,2,113,0.07553139061424823,0.22224290495899515,0.09387858269543514
Hammam Chatt,Location,App. 4 pièc,Appartement s2 a hammam,390,19/12/2024,3,70,0.3746153942045276,-0.21525208779300836,0.8558768517904428
Cite Ezzouhour,Location,App. 2 pièc,Pour couple ou une petite fam,450,19/12/2024,1,80,-0.7031612034361484,0.004085476536797529,-0.35270132049165664
Cite Jardins,Location,Maisons,Etage de villa s3 bu,1150,19/12/2024,3,80,0.39572025901473135,-0.22684493186453675,0.8340815424520314
El Mourouj,Location,App. 3 pièc,Appartement richement me,800,19/12/2024,2,80,-0.15372047221070853,-0.1113797276638696,0.2406901109801873
Hedi Chaker,Location,App. 2 pièc,Cote bourguiba school semi me,900,19/12/2024,1,70,-0.7232316209811718,0.01808856642416844,-0.3313913735631839
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s1 à bha,90000,19/12/2024,1,100,-0.5856932979861308,0.15625015134301395,-0.43160305730641557
Cite El Hidhab,Location,App. 2 pièc,Un joli appartement bon,550,19/12/2024,1,100,-0.6621654532509113,-0.02192876454716534,-0.3957223403072293
